ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
23266,12.663,8,2726,10.24,1964,160,0.88,0.6,1,0,0
23325,2.993,17,4707,15.518,1992,160,1.066,0.61,1,30.474,0
23357,4.401,15.7,8169,17.13,1985,140,1,0.77,1,1.683,0
23401,5.742,13.5,8554,19.27,1999,160,1.21,0.8,1,0,0
23452,3.355,19.2,11315,18.25,1986,140,1.11,0.84,1,0,0
23472,3.55,17.5,7634,15.934,1983,140,0.98,0.7,1,0,0
23478,15.672,7.1,3440,13.6,1970,120,1.05,0.6,1,0,0
23487,17.436,6.1,1508,8.84,1977,160,0.93,0.45,1,0,0
23500,2.834,17.7,5564,17.41,1993,160,1,0.66,1,0,0
23515,7.769,10.5,3895,13.1,2002,250,2.11,0.62,1,0,0
23553,20.577,4.7,834,9.96,1997,130,1.67,0.34,1,0,0
23614,5.512,9.1,1097,12.99,1985,120,0.915,0.37,1,0,1
23615,5.742,13.5,8554,19.27,1999,160,1.21,0.8,1,0,0
23616,4.316,12.2,2529,15.12,1992,160,1,0.47,1,0,0
23672,10.978,7.2,1260,9.6,1980,120,0.939,0.4,1,0,0
23676,4.558,11,1992,16.16,1999,120,1,0.42,1,11.34,0
23712,17.316,6.1,1871,11.12,1980,140,1.031,0.5,1,0,0
23804,3.682,17.45,8737,17.15,1994,160,1.017,0.74,1,0,0
23813,3.932,14.6,4068,14.29,1992,160,1.018,0.6,1,0.269999999999997,0
23821,13.439,8.1,5202,16.51,1972,120,1.104,0.7,1,0,0
23826,4.533,13.6,4114,14.44,1992,140,1.09,0.6,1,29.7,0
23838,3.191,12.6,1608,15.46,1989,160,1.04,0.42,1,0,0
23860,14.37,5.6,1009,12.26,1992,160,1,0.39,1,0,0
23868,20.577,4.7,834,9.96,1997,130,1.67,0.34,1,0,0
23874,5.742,13.5,8554,19.27,1999,160,1.21,0.8,1,0,0
23884,3.938,18.565,13629,18.25,2006,130,1.09,0.92,1,18,0
23911,10.173,6.72,863,10.09,1980,140,1.1,0.34,1,0,0
23915,15.676,6,1301,10.08,1963,120,0.883,0.37,1,0,1
23918,6.808,10.8,5295,20.72,1982,140,1.09,0.61,1,0,0
23927,21.453,6.1,2952,11.43,1978,120,1.031,0.6,1,0,1
23996,5.576,13.7,8554,19.27,1999,160,1.21,0.8,1,0,0
24001,4.412,12.4,2940,15.76,2001,200,1,0.57,1,7.56,0
24134,5.742,13.5,8554,19.27,1999,160,1.21,0.8,1,0,0
24149,2.807,21.9,14218,19.35,2001,200,1,0.91,1,0,0
24190,16.54,7,2726,10.24,1964,160,0.87,0.6,1,0,0
24191,14.666,5.9,1013,9.59,1960,160,1.19,0.46,1,0,0
24193,4.584,12.9,3726,15.8,1995,160,1,0.59,1,0,0
24217,5.742,13.5,8554,19.27,2000,160,1.21,0.8,1,0,0
24257,19.215,6,2752,14.19,1991,160,1,0.52,1,0,0
24262,14.743,5.9,1013,9.49,1960,160,1.19,0.46,1,0,0
24264,19.868,4.94,1270,13.33,1948,160,1,0.45,1,0,0
24292,17.436,6.1,1508,8.84,1977,160,0.93,0.45,1,0,0
24338,17.309,5.8,1484,10.8,1950,140,1.01,0.49,1,0,1
24349,4.442,13,3529,15.45,1999,120,1.22,0.55,1,0,0
24371,12.352,8,3460,13.66,1968,120,1.095,0.6,1,0,0
24390,6.051,15.1,13000,16.85,1988,160,1.173,1,1,0,0
24412,7.491,11.1,3977,11.52,1951,130,1,0.68,1,3.6,0
24427,5.7,13.55,8554,19.27,1999,160,1.21,0.8,1,0,0
24469,13.439,8.1,5202,16.51,1972,120,1.104,0.7,1,0,0
24480,5.742,13.5,8554,19.27,1999,160,1.21,0.8,1,0,0
24507,7.529,9.1,2437,15.47,1997,200,1,0.5,1,6.3,0
24530,5.943,11.72,4297,15.91,1995,120,1.32,0.6,1,3.6153,0
24552,11.866,5.6,454,8.09,1992,160,1.67,0.25,1,0,0
24615,6.74,12.14,6859,17.15,1996,120,1.13,0.75,1,9,0
