n0_3
14.362
5.831
6.989
4.508
6.633
10.328
5.435
5.765
8.339
4.071
9.73
4.588
4.655
4.655
4.585
4.585
7.646
4.738
6.265
4.389
4.947
4.947
3.312
7.588
4.208
11.65
5.551
3.926
7.889
36.262
7.135
6.699
4.611
8.75
2.993
5.465
22.932
4.114
7.135
4.138
6.232
5.797
5.642
4.613
6.514
8.243
4.066
4.17
6.36
4.21
12.959
2.523
5.931
4.475
4.767
4.21
4.651
4.591
5.91
4.273
6.084
4.814
5.581
5.11
4.4
6.282
2.993
4.584
4.462
7.529
2.848
3.929
6.451
8.75
6.076
11.486
4.412
5.716
7.889
8.528
4.472
11.71
4.644
3.262
5.797
6.037
11.324
6.153
3.55
6.145
9.797
4.644
5.955
5.59
6.214
4.651
20.826
7.108
4.316
6.214
8.407
4.475
2.834
5.964
14.234
4.273
10.056
47.736
5.173
15.299
4.594
4.654
4.412
4.82
15.481
4.591
5.581
2.834
4.795
5.298
3.712
6.633
2.848
5.482
4.1
7.108
5.315
9.797
12.842
4.401
4.546
5.608
5.616
4.109
7.108
13.024
5.74
6.219
11.65
6.325
21.791
4.131
4.1
6.357
4.17
8.243
5.57
3.9
5.608
14.308
9.411
7.91
6.076
3.766
3.077
3.666
5.011
3.191
3.853
6.037
14.839
3.264
4.472
9.949
5.11
4.613
10.328
11.348
6.989
4.316
4.536
3.191
4.224
3.223
