n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB
5.147,17.07,20632,22.63,2015,160,2.98,12.74
5.068,17.36,18565,19.64,2015,160,2.87,12.59
2.836,21.32,17072,25.35,2011,100,2.7,12.3
4.232,21.15,35809,24.65,2011,200,3.7,11.6
4.232,21.15,35809,24.65,2011,200,3.7,11.6
26.783,4.7,1918,13.52,2011,230,0.897,9.999
22.529,4.4,569,7.38,1900,150,0.9,9.999
4.273,15.5,6893,16.14,1980,160,1.13,9.999
4.273,15.5,6893,16.14,1980,160,1.13,9.999
27.728,5,1519,7.8,1905,120,0.78,9.999
27.938,5,2068,10.46,1905,120,0.78,9.999
36.476,3,684,15.66,1958,120,1.24,9.999
36.476,3,684,15.66,1958,120,1.24,9.999
36.476,3,684,15.66,1958,120,1.24,9.999
36.476,3,684,15.66,1958,120,1.24,9.999
38.758,3,603.6,12.24,1958,120,1.24,9.999
38.758,3,603.6,12.24,1958,120,1.24,9.999
38.758,3,603.6,12.24,1958,120,1.24,9.999
38.758,3,603.6,12.24,1958,120,1.24,9.999
20.973,5.5,2163,13.26,2005,200,1.471,9.999
20.973,5.5,2163,13.26,1929,200,1.471,9.999
7.272,12.5,6122,11.7,2003,200,1.09,9.999
7.732,12.5,6122,10.35,2003,200,1.09,9.999
18.032,5.8,1788,11.99,1929,130,1.069,9.999
11.528,8.5,4726,16.81,1935,130,1.102,9.999
11.528,8.5,4726,16.81,1929,130,1.102,9.999
11.528,8.5,4726,16.81,1935,130,1.102,9.999
11.528,8.5,4726,16.81,1929,130,1.102,9.999
17.751,6.9,9393,32.45,1914,130,1.22,9.999
8.383,10.5,6661,19.24,1907,140,0.888,9.999
8.085,10.5,3697,11.48,1907,140,0.888,9.999
14.686,6,1049,9.26,1912,140,0.971,9.999
12.393,6.56,1472,12.77,1914,140,1.01,9.999
18.315,5,650,7.65,2014,100,0.896,9.999
21.089,5,979,8.69,1909,130,0.955,9.999
21.089,5,979,8.69,1909,130,0.971,9.999
8.738,8.85,1346,7.09,1985,130,1.461,9.999
8.738,8.85,1346,7.09,1985,130,1.792,9.999
17.731,5,704,8.84,1902,90,1.65,9.999
15.596,5.5,985,10.92,1902,110,1.68,9.999
15.596,5.5,985,10.92,1902,110,1.68,9.999
15.377,6.9,1729,7.96,1903,110,0.91,9.999
22.025,5,972,7.91,1941,160,0.948,9.999
22.025,5,972,7.91,1941,160,0.948,9.999
17.402,5,698,9.1,1906,160,1.07,9.999
17.402,5,698,9.1,1906,160,1.07,9.999
18.817,5,661,7.37,1906,160,0.894,9.999
21.257,5,681,5.95,1904,90,0.825,9.999
20.213,5,681,6.58,1904,90,0.825,9.999
9.086,10.4,6169.4,15.76,1934,140,1.21,9.999
9.086,10.4,6169.4,15.76,1934,140,1.21,9.999
19.713,5.1,1044.2,9.8,1924,140,1.308,9.999
19.713,5.1,1044.2,9.8,1924,140,1.308,9.999
71.178,2.6,879.2,9.37,1938,140,1.039,9.999
67.767,2.6,717,8.43,1898,140,1.039,9.999
85.056,2.5,976.97,8.53,1898,140,0.978,9.999
84.641,2.5,967.45,8.53,1898,140,0.978,9.999
9.991,6,601.4,11.471,1974,130,1.2,9.999
9.523,10.27,4608,11.27,1920,150,0.94,9.999
9.523,10.27,4608,11.27,1920,150,0.94,9.999
24.009,4.5,730,7.62,1910,80,1.071,9.999
24.009,4.5,730,7.62,1910,80,1.071,9.999
9.764,8,1415,8.94,1910,80,1.176,9.999
24.626,4.6,701,6.37,1910,80,1.037,9.999
5.298,13.45,8141,21.87,1995,230,1.83,9.999
5.061,16.4,14416,19.2,1995,230,1.57,9.999
2.877,20.2,11172,20,1997,230,1.29,9.999
25.333,3.5,430.5,11.03,1907,140,0.971,9.999
25.333,3.5,430.5,11.03,1907,140,0.971,9.999
25.333,3.5,430.5,11.03,1907,140,0.971,9.999
