ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
17786,3.556,19.05,11744,17.4,1997,100,1.3,0.84,1,0,0
17798,8.458,9.5,4565,19.33,1913,120,1.28,0.65,1,26.1,0
17817,11.58,5.7,652.9,11.38,1974,160,0.88,0.35,1,0,1
17819,3.397,21,19477,21.41,1990,160,1.49,1,1,0,0
17821,17.488,6.25,1252,6.62,1905,140,0.84,0.5,0,0,1
17826,14.41,6.2,1956,15.73,1934,100,1.302,0.48,2,0,1
17829,6.011,13.5,9622,19.78,1978,140,1.974,0.8,1,0,0
17833,35.505,4,1682,12.86,1934,160,1.401,0.48,2,0,1
17838,25.141,4.36,710,7.67,1906,160,1.142,0.39,1,23.4,1
17839,21.735,4.5,749,9.54,1904,130,0.937,0.39,1,0,1
17840,26.626,5,1785,9.94,1904,130,0.949,0.54,1,0,1
17860,26.304,4.5,744,6.47,1904,100,2.83,0.42,0,0,1
17873,13.405,7.65,3517,14.1,1925,120,0.98,0.6,1,37.6605,1
17888,4.967,16.4,15747,21.77,2006,160,1.33,0.95,1,0,0
17889,5.585,15.55,11967,16.19,2006,160,1.47,0.95,0,0,0
17914,21.624,8.08,10689,13.233,1931,160,1.229,0.5,1,0,1
17916,21.666,8.07,10676,13.231,1931,160,1.225,0.5,1,0,1
17929,16.168,5.5,889,9.17,1913,120,1.03,0.4,0,0,0
17932,5.31,11.6,2286,11.05,1983,120,2.02,0.46,0,0,0
17934,7.341,12.56,9071,16.69,1934,120,1.4,0.82,0,5.823,1
17935,27.295,4.37,1687,15.32,1934,120,0.9,0.52,0,5.823,1
17948,26.723,4.37,2169,20.55,1934,120,0.9,0.52,1,5.823,1
17959,4.179,16.88,10055,17.5,1976,140,1.37,0.76,1,7.173,0
17971,4.21,14.6,6202,19,2001,120,0.848,0.64,1,0,0
17988,18.701,5.85,1836,11.06,1916,140,0.83,0.555,0,19.998,1
17993,17.51,7.1,4386,13.89,1925,160,0.887,0.65,1,0,1
17994,13.144,6.8,2030,13.56,1976,120,0.86,0.54,1,0,1
17995,10.952,5.49,719.4,16.29,1985,160,0.95,0.3,0,0.054000000000002,1
17999,9.824,8,2368,14.78,1988,140,1,0.5,0,2.9142,1
18001,9.822,8,2628,16.41,1987,140,1,0.5,1,2.9142,1
18020,8.61,6.6,622,10.91,1992,140,1.14,0.3,1,0,0
18036,6.135,12.6,4909,12.77,1909,130,1.042,0.64,1,0,1
18045,10.743,9.3,3653,10.44,1934,120,1.06,0.68,1,45.954,1
18057,6.288,11.09,3396,14.01,1989,160,1.217,0.59,1,25.2,0
18084,9.59,9.7,4844,14.68,1922,120,1.15,0.68,1,64.998,1
18105,6.372,14.73,25077,32.37,1982,160,1.02,1.06,0,0,0
18132,10.399,6.1,716,11.8,1934,160,1.015,0.39,0,4.5,1
18136,21.215,5.8,1930,9.35,1919,140,0.78,0.61,1,0,1
18137,21.068,5.5,1926,11.7,1920,140,0.87,0.36,2,0,0
18161,4.165,15.16,6221,16.75,1979,140,1.21,0.66,1,0,0
18167,7.867,11.3,6020,14.72,1916,100,0.956,0.75,1,17.1,1
18168,7.849,11.3,5418,13.31,1916,100,0.956,0.75,1,17.1,1
18190,4.34,18.52,17706,19.72,1979,160,1.9,0.94,1,0,1
18191,6.111,12.64,7390,19.13,1996,160,1.66,0.72,1,8.37792,0
18200,8.855,7.6,1232,11.62,1978,140,1.16,0.42,1,0,0
18207,15.537,6.6,1216,6.55,1915,120,1.49,0.43,0,0,1
18222,11.08,6.35,758,9.37,1993,120,1,0.36,0,0,0
18247,15.959,5.4,1105,12.59,1937,160,1.167,0.41,1,0,1
18248,8.82,10.75,6707,15.93,1950,100,1.36,0.75,1,13.95,1
18262,20.785,4.5,807,11.24,1915,140,1.14,0.44,1,0,1
18263,18.485,6,2180.7,12.15,1933,140,1.213,0.51,1,0,1
18267,17.583,5.8,1374,9.69,1951,160,0.89,0.47,1,0,1
18268,17.583,5.8,1374,9.69,1951,160,0.89,0.47,1,0,1
18280,11.761,7.4,2039,12.13,1925,120,0.89,0.46,1,57.6,0
18286,21.031,4.7,768,8.78,1925,140,1.166,0.35,1,0,0
18287,14.729,8.2,4921,12.38,1925,110,1.238,0.68,1,0,0
18305,5.181,14.35,7580,16.43,1997,140,1,0.75,1,0,0
18319,18.881,5.8,1532,9.37,1928,90,1.1,0.46,1,30.6,0
