ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB
18797,6.174,11.38,3830,14.78,1988,150,1.56,1
18878,34.267,3.8,901,9.08,1978,160,0.99,1
18880,9.986,8.22,3050,16.53,1985,160,1,1
18990,16.26,5.5,1004,10.24,1913,120,1.12,1
18993,36.72,3.6,760,8.28,1914,120,0.842,1
19044,7.086,15.04,21430,20.58,1988,140,1,1
19211,5.637,11.85,4078,16.06,1989,80,1,1
19213,13.456,6,893,9.39,1988,160,1,1
19214,5.122,15.8,12438,18.77,1998,160,1,1
19242,14.591,8.1,4446,11.97,1956,110,1,1
19298,3.992,31.435,214191,33.97,2004,130,1,1
19335,4.524,15.2,8035,18.15,1996,100,0.851,1
19391,10.109,8.22,3050,16.13,1985,160,1,1
19392,35.238,4,1641.3,12.74,1950,160,0.81,1
19416,3.785,17.55,9819,17.83,1997,160,1,1
19445,13.253,7.65,3635,14.91,1925,120,0.98,1
19516,13.252,6.16,1284,12.53,1998,100,1,1
19575,13.394,6.16,1207,11.53,1998,100,1,1
19631,21.244,5.8,2610,12.61,1932,130,1,1
19698,6.854,11.3,4778,15.39,1980,140,1,1
19719,2.456,26.3,27919,23.88,2012,80,1,1
19748,12.928,5.9,916,11.16,1909,130,1.74,1
19800,3.623,20.6,19107.2,19.94,1995,140,1.267,1
19834,3.55,17.5,7634,15.934,1983,140,0.98,1
19844,2.43,26.3,29717,25.96,2012,80,1,1
19890,46.314,2.5,190,5.595,1931,140,1.077,1
19906,11.413,6.25,1143,14.19,1897,80,1,1
20089,44.512,2.4,280,10.51,1986,140,1,1
20090,19.215,6,2752,14.19,1991,160,1,1
20152,3.703,21,20295.8,18.779,1995,120,1.19,1
20192,6.318,15.55,18567,19.63,2003,130,1,1
20213,12.451,9,6340,15.38,1999,120,1,1
20284,4.847,12,2438,12.35,1985,130,1,1
20326,3.337,18.7,9808,17.77,2000,200,1,1
20336,12.75,6.25,1143,11.37,1897,80,1,1
20395,2.635,24.78,19986,18.84,1985,120,1,1
20507,6.28,15.55,17952,19.21,2003,130,1,1
20558,5.849,9.47,1415,12.69,1985,120,1.22,1
20564,15.14,6.34,2340,15.59,1972,140,0.83,1
20616,25.068,4.5,683,6.54,1928,140,1.135,1
20627,8.282,11,6423,15.78,1897,80,1,1
20679,12.273,5.8,1533,22.19,1982,140,1,1
20684,3.262,19.24,10274,17.39,2009,160,1,1
20714,4.488,14.3,5898,17.275,1999,120,1.22,1
20797,6.63,7.78,626,9.59,1985,140,1,1
20821,14.376,5.7,962,10.88,1931,120,0.993,1
20892,6.087,13.87,12396,22.302,1996,200,1.4,1
20902,6.854,11.3,4778,15.39,1980,140,1,1
20935,11.264,6.4,1012,11.73,1994,160,1,1
20945,3.719,21.5,25109.4,20.96,1995,140,1.402,1
21031,32.17,3.32,346,6.79,1908,100,1.716,1
21095,3.682,17.45,8737,17.15,1994,160,1.017,1
21135,5.895,11.73,3925,14.72,1981,120,1,1
21198,6.034,10.4,2688,15.57,1992,100,1.4,1
21201,2.86,17.83,15082.3,45.02,1995,140,1,1
21212,5.91,10.2,2387,15.58,1997,140,1,1
21229,6.008,10.2,2141,13.52,1993,100,1.149,1
21233,14.376,5.7,962,10.88,1931,120,0.993,1
21262,11.396,5.94,749,11.43,2001,120,1,1
21267,17.004,5.6,1678,14.56,1997,200,1,1
21302,18.908,3.8,217.5,7.199,1985,140,1,1
21362,2.899,17.83,15168.3,44.06,1995,140,1,1
21449,2.505,26.3,29635,24.36,2012,80,1,1
21457,8.034,8.8,2259,14.4,1993,120,1,1
21468,3.719,21.5,25109.4,20.96,1995,140,1.402,1
21593,26.697,3.7,628,11.6,1992,160,1,1
21612,6.762,7.78,679,10,1985,140,1,1
21627,14.37,5.6,1009,12.26,1992,160,1,1
21670,36.383,2.8,215,6.52,1935,140,0.89,1
21718,2.635,24.78,19986,18.84,1985,120,1,1
21749,36.217,2.6,153,6.298,1935,140,0.711,1
21773,11.612,4.6,330.8,13.52,1994,120,1,1
21803,3.623,20.6,19107.2,19.94,1995,140,1.267,1
21829,11.612,4.6,330.8,13.52,1994,120,1,1
21863,6.854,11.3,4778,15.39,1980,140,1,1
21872,5.91,10.2,2387,15.58,1997,140,1,1
21923,65.406,2.5,396,5.847,1931,140,1.077,1
21962,14.294,6.8,2801,15.82,1952,140,0.85,1
22012,15.356,6,1796,14.5,2004,160,1,1
22052,12.995,5.5,816,13.03,1986,140,1,1
22075,9.936,7.54,1407,10.88,1980,140,1,1
22116,5.551,9.4,820,8.41,1984,140,1,1
22127,37.551,3.4,843.5,11.045,1962,140,0.89,1
