ID_AUFTRAG_ZPM,STW_NUM,n0_3,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB,Ssp_Randkonstruktion
2825,4.35,16.94,421,10.11,1997,160,1,1,1
2826,4.35,16.94,421,10.11,1997,160,1,1,1
2829,3.9,23.434,320,6.215,1938,160,0.914,0.914,1
2830,3.9,23.21,421,8.335,1938,160,0.914,0.914,1
2849,4.5,21.479,539,7.03,1977,160,0.828,0.824,0
2875,4.9,14.977,455.43,8.69,1978,200,1.595,2,1
2876,4.9,14.977,455.43,8.69,1978,200,1.595,2,1
2879,5,11.307,557,17.2,1989,200,1,1,1
2882,14.15,5.893,10155,18,1991,200,1.56,3,1
2883,14.15,5.893,10155,18,1991,200,1.856,5,1
2888,10.5,7.683,4720,16.23,1990,200,2.05,1,1
2889,10.5,7.683,4720,16.23,1990,200,2.05,1,1
2890,12.1,6.23,6082,18.04,1989,200,2.44,1,1
2891,12.1,6.23,6082,18.04,1989,200,2.44,1,1
2916,5.26,12.436,592.6,12.35,1988,200,1.7,1,1
2917,5.26,12.436,592.6,12.35,1988,200,1.7,1,1
2918,5,21.463,1301,11.15,1991,200,1.92,1,1
2919,5,30.503,1301,5.52,1991,200,1.92,1,1
2920,3.8,19.581,394,12.16,1991,200,2.022,1,1
2921,3.8,19.581,394,12.16,1991,200,2.022,1,1
2922,5.6,12.04,650,11.25,1991,200,2.213,1.08,1
2923,5.6,12.913,650,9.78,1991,200,2.213,1.08,1
2945,5.4,26.937,2503,10.01,1938,200,0.947,2,1
2946,5.4,26.937,2503,10.01,1938,200,0.947,2,1
2949,15,4.659,7656.8,17.19,1973,160,1.225,2,1
2950,15,4.653,7656.8,17.24,1974,160,1.225,2,1
2951,11.8,6.091,4678.6,16.05,1974,160,1.636,2,1
2952,11.8,6.346,5163.5,16.32,1974,160,1.636,2,1
2958,11.5,5.642,3285,14.56,1973,160,1.534,2,1
2991,9.18,7.574,1661,10.06,1986,70,1.083,1,1
3022,24.34,2.702,21171.2,20.38,1991,100,1,1,0
3023,24.34,2.702,21171.2,20.38,1991,100,1,1,0
3026,17.39,3.531,11177.4,24.19,1991,100,1.06,1,0
3048,24.53,3.216,39650,26.12,1992,120,1,1,1
3049,24.53,3.26,36295,23.27,1992,120,1,1,0
3058,6.35,11.201,926,11.2,1984,160,1,1,1
3059,6.35,11.201,926,11.2,1984,160,1,1,0
3060,3.6,28.403,497,9.05,1930,160,0.869,0.892,1
3061,3.6,28.403,497,9.05,1930,160,0.869,0.892,0
3177,17.96,4.064,14942,21.45,1988,160,1.04,1.01,0
3178,17.46,4.187,13533,20.5,1988,160,1.06,1.15,1
3180,16,4.471,10107,19.04,1973,160,1.806,1,1
3181,16,4.471,10107,19.04,1973,160,1.806,1,0
3194,14.442,3.662,5192,21.96,1992,100,1.28,1.07,1
3195,14.442,4.634,8248,21.79,1992,100,1.2,1.07,0
3220,4,35.241,956.1,7.42,1975,160,0.764,0.764,1
3221,7.3,7.307,746,12.14,1972,160,1.086,1.67,1
3222,7.3,7.307,746,12.14,1972,160,1.086,1.67,1
3244,12,6.229,5267,16.15,1986,160,2.6,1.37,1
3245,12,6.229,5267,16.15,1986,160,2.6,1.37,1
3247,7.2,7.852,869,12.94,1986,160,1.11,1.92,1
3248,7.2,7.852,869,12.94,1986,160,1.11,1.92,1
3259,15.32,4.294,7294,17.72,1989,160,1.19,1,1
3260,15.32,4.294,7294,17.72,1989,160,1.19,1,1
3265,5.63,12.097,637,10.69,1974,160,1.013,0.912,1
3266,5.63,12.097,637,10.69,1974,160,1.013,0.912,1
3268,23.2,3.335,31665,24.25,1992,160,1.43,1.35,1
3269,23.2,3.305,31536,24.59,1992,160,1.38,1.38,1
3270,19,3.315,11380,19.61,1991,160,1.22,1.05,1
3271,19,3.315,11380,19.61,1991,160,1.22,1.05,1
3299,4.2,34.618,1466,9.7,1930,160,0.887,0.886,1
3306,12.43,5.426,4333,15.21,1976,160,1.07,4.08,1
3307,12.43,5.426,4333,15.21,1976,160,1.07,4.08,1
3355,3,31.922,282,8.43,1935,140,0.801,0.801,1
3356,3,31.922,282,8.43,1935,140,0.801,0.801,1
3357,3.56,24.372,302,7.81,1974,140,0.787,0.787,1
3358,4,17.91,214,6.43,1938,140,0.876,0.876,0
3359,4,17.91,214,6.43,1938,140,0.876,0.876,1
3364,14.8,6.547,12045,14.45,1951,110,1.091,2.481,1
3365,14.8,6.433,11458,14.24,1951,110,1.091,2.481,1
3368,3.35,18.718,365,20.41,1916,90,0.754,1.01,1
3369,4.6,15.736,541,12.04,1914,90,0.91,0.904,2
3371,4.6,13.505,323,9.76,1908,140,0.985,1.484,2
3372,5.07,11.236,358,10.59,1995,140,1.343,1.11,1
3373,5.07,11.236,358,10.59,1995,140,1.343,1.11,1
3374,10.5,5.85,2298,13.63,2007,140,1.18,1.21,2
3376,5,21.14,1218,10.76,1938,140,1.23,1.874,1
3377,5,21.381,1158,10,1938,140,1.23,1.874,1
3380,3.95,27.864,609,7.95,1933,140,0.941,1.27,1
3381,3.95,27.864,609,7.95,1933,140,0.941,1.27,1
3382,3.95,27.535,576,7.7,1932,140,0.933,1.262,1
3383,3.95,27.535,576,7.7,1932,140,0.933,1.262,1
3386,5.36,14.318,851,12.41,2009,130,2.8,1.71,1
3387,5.36,14.318,851,12.41,2009,130,2.8,1.71,1
3390,4.6,18.933,508,7.81,1935,130,1.104,1.511,1
3391,4.6,18.933,508,7.81,1935,130,1.104,1.511,1
3399,2.6,44.93,292,7.81,1903,130,1.999,1.737,1
3400,2.6,42.996,265,7.74,1938,130,1.316,1.354,1
3401,4.2,18.087,328,7.95,1938,130,0.929,1.617,1
3402,4.2,18.087,328,7.95,1938,130,0.929,1.617,1
3403,3.6,28.031,345,6.45,1938,130,1.129,1.719,1
3404,3.6,28.031,345,6.45,1938,130,1.129,1.719,1
3405,3.6,39.859,1035,9.57,1938,130,0.99,1.507,1
3406,3.6,39.859,1035,9.57,1938,130,0.99,1.507,1
3407,4.6,19.724,617,8.74,1932,130,0.755,1.154,1
3408,4.6,19.684,540,7.68,1932,130,0.752,1.15,1
3409,4.2,30.791,1204,10.07,1938,130,2.037,1.969,1
3410,4.2,19.658,404,8.29,1909,130,1.103,1.411,1
3411,4.6,16.708,423,8.35,1909,130,0.906,1.359,1
3412,4.6,22.789,868,9.21,1938,130,1.043,1.447,1
3427,5.4,20.005,1466,10.63,1915,100,0.936,0.94,1
3428,5.4,20.005,1466,10.63,1915,100,0.936,0.94,1
3439,4,24.697,636,10.05,1932,160,1.218,1.68,1
3440,4,24.167,569,9.39,1932,160,1.223,1.684,0
3443,4.5,12.895,202,7.31,1973,160,0.828,0.824,1
